name,group,epoch,country,sex,year_from,year_to,haplogroup,lat,lon,fasta_url
DA26,IAST,Iron Age,Kazakhstan,F,-400,-100,U4a2,52.18111038208008,64.53944396972656,/static_md5/data/fasta/DA26.fa
DA27,IAST,Iron Age,Kazakhstan,M,349,368,C4b1,52.836944580078125,62.893611907958984,/static_md5/data/fasta/DA27.fa
I7276,BBC,Copper Age,Czech Republic,M,-2500,-2200,H5b,50.189998626708984,14.157999992370605,/static_md5/data/fasta/I7276.fa
JK2893,CLNE,Classical Age,Egypt,U,-797,-771,H5,29.899999618530273,31.200000762939453,
I4945,BBC,Copper Age,Czech Republic,F,-2291,-2144,H4a1c,50.12174606323242,14.456951141357422,/static_md5/data/fasta/I4945.fa
JK2895,CLNE,Classical Age,Egypt,M,25,111,K 16T,29.899999618530273,31.200000762939453,
I7278,BBC,Copper Age,Czech Republic,M,-2500,-2200,U4a2,50.189998626708984,14.157999992370605,/static_md5/data/fasta/I7278.fa
I5666,BBC,Copper Age,Czech Republic,M,-2500,-1900,U4a2c,50.27401351928711,15.813870429992676,/static_md5/data/fasta/I5666.fa
DA28,IAST,Middle Ages,Kazakhstan,M,1200,1400,D4m2,46.997222900390625,66.28583526611328,/static_md5/data/fasta/DA28.fa
DA29,IAST,Middle Ages,Kazakhstan,M,1200,1400,I1b,46.997222900390625,66.28583526611328,/static_md5/data/fasta/DA29.fa
I5514,BBC,Copper Age,Czech Republic,M,-2500,-2000,T2b+152,50.0504150390625,14.366726875305176,/static_md5/data/fasta/I5514.fa
DA30,IAST,Iron Age,Kazakhstan,M,-47,24,U4a2,51.69499969482422,65.67138671875,/static_md5/data/fasta/DA30.fa
JK2902,CLNE,Classical Age,Egypt,U,-902,-842,I,29.899999618530273,31.200000762939453,
JK2903,CLNE,Classical Age,Egypt,U,-87,2,U5a,29.899999618530273,31.200000762939453,
I4885,BBC,Copper Age,Czech Republic,M,-2289,-2143,U5a1i,50.12174606323242,14.456951141357422,/static_md5/data/fasta/I4885.fa
DA31,IACA,Iron Age,Armenia,M,-1500,-700,HV0a,40.52027893066406,44.93083190917969,/static_md5/data/fasta/DA31.fa
I4886,BBC,Copper Age,Czech Republic,M,-2205,-2042,H6a,50.12174606323242,14.456951141357422,/static_md5/data/fasta/I4886.fa
I7282,BBC,Copper Age,Czech Republic,M,-2500,-2200,K1a3a3,50.4102668762207,14.074597358703613,/static_md5/data/fasta/I7282.fa
I7288,BBC,Copper Age,Czech Republic,M,-2500,-2200,H1m,50.4102668762207,14.074597358703613,/static_md5/data/fasta/I7288.fa
I4888,BBC,Copper Age,Czech Republic,M,-2190,-2029,K1a2c,50.12174606323242,14.456951141357422,/static_md5/data/fasta/I4888.fa
DA35,IACA,Iron Age,Armenia,F,-1390,-1337,J1b1a1+146,40.52027893066406,44.93083190917969,/static_md5/data/fasta/DA35.fa
I7289,BBC,Copper Age,Czech Republic,M,-2500,-2200,U8b1b1,50.4102668762207,14.074597358703613,/static_md5/data/fasta/I7289.fa
I4890,BBC,Copper Age,Czech Republic,M,-2500,-2000,H,50.12174606323242,14.456951141357422,/static_md5/data/fasta/I4890.fa
I4891,BBC,Copper Age,Czech Republic,M,-2281,-2062,J2a1a2,50.12174606323242,14.456951141357422,/static_md5/data/fasta/I4891.fa
I1382,BBC,Copper Age,France,M,-2434,-2135,U5a2c3a,49.15299987792969,6.1020002365112305,/static_md5/data/fasta/I1382.fa
JK2907,CLNE,Classical Age,Egypt,M,26,84,HV1a'b'c,29.899999618530273,31.200000762939453,
I1389,BBC,Copper Age,France,M,-2468,-2278,X2b4a,47.650001525878906,7.449999809265137,/static_md5/data/fasta/I1389.fa
I4887,BBC,Copper Age,Czech Republic,M,-2201,-2039,K1a2c,50.12174606323242,14.456951141357422,/static_md5/data/fasta/I4887.fa
DA39,IAMo,Iron Age,Mongolia,M,-49,53,N9a2a,48.01777648925781,101.35333251953125,/static_md5/data/fasta/DA39.fa
I7205,BBC,Copper Age,Czech Republic,M,-2500,-2200,H10+(16093),50.4102668762207,14.074597358703613,/static_md5/data/fasta/I7205.fa
DA41,IAMo,Iron Age,Mongolia,M,-347,-319,G3a3,49.274444580078125,101.71583557128906,/static_md5/data/fasta/DA41.fa
I7210,BBC,Copper Age,Czech Republic,M,-2500,-2200,H6a1b4,50.4102668762207,14.074597358703613,/static_md5/data/fasta/I7210.fa
DA43,IAMo,Iron Age,Mongolia,M,-300,-100,D4a6,42.52583312988281,105.18000030517578,/static_md5/data/fasta/DA43.fa
JK2913,CLNE,Classical Age,Egypt,U,-895,-834,X1,29.899999618530273,31.200000762939453,
I7287,BBC,Copper Age,Czech Republic,M,-2500,-2200,K1a4a1,50.4102668762207,14.074597358703613,/static_md5/data/fasta/I7287.fa
DA45,IAMo,Iron Age,Mongolia,M,-156,-134,D4b2b2b,42.52583312988281,105.18000030517578,/static_md5/data/fasta/DA45.fa
JK2914,CLNE,Classical Age,Egypt,U,-510,-408,T2,29.899999618530273,31.200000762939453,
JK2916,CLNE,Classical Age,Egypt,U,-1111,-998,R0,29.899999618530273,31.200000762939453,
I7214,BBC,Copper Age,Czech Republic,F,-2500,-2200,U8b1b1,50.4102668762207,14.074597358703613,/static_md5/data/fasta/I7214.fa
I7290,BBC,Copper Age,Czech Republic,F,-2500,-2200,V3,50.4102668762207,14.074597358703613,/static_md5/data/fasta/I7290.fa
I7283,BBC,Copper Age,Czech Republic,F,-2500,-2200,K1a3a3,50.4102668762207,14.074597358703613,/static_md5/data/fasta/I7283.fa
I6468,BBC,Copper Age,Czech Republic,F,-2500,-1900,K2b1,50.16666793823242,14.316666603088379,/static_md5/data/fasta/I6468.fa
DA48,IAKa,Iron Age,Kazakhstan,M,-550,-50,H4d,41.42805480957031,75.32971954345703,/static_md5/data/fasta/DA48.fa
I5024,BBC,Copper Age,Czech Republic,M,-2278,-2032,H3,50.11800003051758,14.258000373840332,/static_md5/data/fasta/I5024.fa
I5025,BBC,Copper Age,Czech Republic,F,-2500,-1900,U5b2c,50.11800003051758,14.258000373840332,/static_md5/data/fasta/I5025.fa
DA49,IAKa,Iron Age,Kazakhstan,M,-356,-285,T2a1,41.42805480957031,75.32971954345703,/static_md5/data/fasta/DA49.fa
JK2919,CLNE,Classical Age,Egypt,U,-790,-671,J2a2c,29.899999618530273,31.200000762939453,
DA51,IAKa,Iron Age,Kazakhstan,M,-361,-349,H2a1,41.42805480957031,75.32971954345703,/static_md5/data/fasta/DA51.fa
I1392,BBC,Copper Age,France,F,-2833,-2475,H1+152,47.560001373291016,7.519999980926514,/static_md5/data/fasta/I1392.fa
JK2921,CLNE,Classical Age,Egypt,M,35,120,R0a1,29.899999618530273,31.200000762939453,
DA52,IAKa,Iron Age,Kazakhstan,M,403,434,G2a1d2,41.42805480957031,75.32971954345703,/static_md5/data/fasta/DA52.fa
I3590,BBC,Copper Age,Germany,F,-2335,-2140,H1,48.88330078125,12.53320026397705,/static_md5/data/fasta/I3590.fa
I3601,BBC,Copper Age,Germany,F,-2300,-2150,H10e,48.88330078125,12.53320026397705,/static_md5/data/fasta/I3601.fa
I3588,BBC,Copper Age,Germany,M,-2300,-2150,H1e1a,48.88330078125,12.53320026397705,/static_md5/data/fasta/I3588.fa
I3594,BBC,Copper Age,Germany,F,-2300,-2150,T2f,48.88330078125,12.53320026397705,/static_md5/data/fasta/I3594.fa
I4248,BBC,Copper Age,Germany,M,-2500,-2000,T2b+152,48.840999603271484,12.75,/static_md5/data/fasta/I4248.fa
I3602,BBC,Copper Age,Germany,F,-2300,-2150,I3a,48.88330078125,12.53320026397705,/static_md5/data/fasta/I3602.fa
I3600,BBC,Copper Age,Germany,F,-2300,-2150,U5b3,48.88330078125,12.53320026397705,/static_md5/data/fasta/I3600.fa
JK2922,CLNE,Classical Age,Egypt,U,-352,-200,R,29.899999618530273,31.200000762939453,
DA54,IAKa,Iron Age,Kazakhstan,M,265,271,C4+152+16093,41.42805480957031,75.32971954345703,/static_md5/data/fasta/DA54.fa
I3597,BBC,Copper Age,Germany,M,-2300,-2150,T2f,48.88330078125,12.53320026397705,/static_md5/data/fasta/I3597.fa
JK2951,CLNE,Classical Age,Egypt,U,-344,-169,U8b1b1,29.899999618530273,31.200000762939453,
DA56,IAKa,Iron Age,Kazakhstan,M,-159,-132,HV6,41.42805480957031,75.32971954345703,/static_md5/data/fasta/DA56.fa
JK2952,CLNE,Classical Age,Egypt,U,-790,-603,J2a2c,29.899999618530273,31.200000762939453,
I5520,BBC,Copper Age,Germany,F,-2500,-2000,K1b2a,48.33000183105469,10.895000457763672,/static_md5/data/fasta/I5520.fa
JK2953,CLNE,Classical Age,Egypt,F,-37,48,M1a1,29.899999618530273,31.200000762939453,
I5521,BBC,Copper Age,Germany,F,-2500,-2000,J1b1a1,48.33000183105469,10.895000457763672,/static_md5/data/fasta/I5521.fa
I5659,BBC,Copper Age,Germany,M,-2500,-2000,K1a4b,48.840999603271484,12.75,/static_md5/data/fasta/I5659.fa
