name,group,epoch,country,sex,year_from,year_to,haplogroup,fasta_url
arm1,BACA,Bronze Age,Armenia,U,-3000,-2800,K3,/static_md5/data/fasta/arm1.fa
I1674,CAME,Copper Age,Iran,M,-3972,-3800,I1c,/static_md5/data/fasta/I1674.fa
AfontovaGora3,HGE,Mesolithic,Russia,F,-16480,-15480,R1b,
I1290,NEME,Neolithic,Iran,F,-8179,-7613,X1'2'3,/static_md5/data/fasta/I1290.fa
I5886,NEUk,Neolithic,Ukraine,M,-5314,-5220,U4a,/static_md5/data/fasta/I5886.fa
LHHEG3,LONG,Middle Ages,Hungary,U,500,600,H87,/static_md5/data/fasta/LHHEG3.fa
arm10,CLCA,Classical Age,Armenia,U,-719,-434,H13a1a2,/static_md5/data/fasta/arm10.fa
arm11,BACA,Bronze Age,Armenia,U,-1300,-1100,U3b,/static_md5/data/fasta/arm11.fa
I0785,CABA,Copper Age,Bulgaria,F,-4455,-4359,H7,/static_md5/data/fasta/I0785.fa
I5889,NEUk,Neolithic,Ukraine,F,-5310,-4785,U5a2a,/static_md5/data/fasta/I5889.fa
I4168,NEBA,Neolithic,Croatia,F,-4763,-4536,N1a1,/static_md5/data/fasta/I4168.fa
Aes24,NESw,Neolithic,Switzerland,M,-2912,-2877,K2b1a,/static_md5/data/fasta/Aes24.fa
LICOL4,LONG,Middle Ages,Italy,U,570,800,None,
I3810,MAIB,Middle Ages,Spain,F,1500,1600,L2e1,/static_md5/data/fasta/I3810.fa
LICOL23,LONG,Middle Ages,Italy,U,570,800,H2+152,/static_md5/data/fasta/LICOL23.fa
I1944,NEME,Neolithic,Iran,F,-8000,-7700,R2+13500,/static_md5/data/fasta/I1944.fa
I1945,NEME,Neolithic,Iran,M,-8000,-7700,J1,/static_md5/data/fasta/I1945.fa
LICOL24,LONG,Middle Ages,Italy,U,570,800,None,
Aes25,NESw,Neolithic,Switzerland,M,-2864,-2501,X2b+226,/static_md5/data/fasta/Aes25.fa
LICOL30,LONG,Middle Ages,Italy,U,570,800,I1b,/static_md5/data/fasta/LICOL30.fa
LICOL25,LONG,Middle Ages,Italy,U,570,800,H,/static_md5/data/fasta/LICOL25.fa
I0706,NEBA,Neolithic,Bulgaria,M,-6022,-5887,K1a4b,/static_md5/data/fasta/I0706.fa
I7423,MAIB,Middle Ages,Spain,M,1500,1600,H20c,/static_md5/data/fasta/I7423.fa
I3712,NEUk,Neolithic,Ukraine,M,-5507,-5376,U4b1a,/static_md5/data/fasta/I3712.fa
arm15,BACA,Bronze Age,Armenia,U,-1400,-1200,H15a1a1,/static_md5/data/fasta/arm15.fa
NLHFON444,MAHu,Middle Ages,Hungary,U,500,600,H7,
Aes3,NESw,Neolithic,Switzerland,F,-3078,-2908,H1,/static_md5/data/fasta/Aes3.fa
I3714,NEUk,Neolithic,Ukraine,M,-5500,-4800,U4d,/static_md5/data/fasta/I3714.fa
arm16,BACA,Bronze Age,Armenia,U,-1400,-1200,K1a12a,/static_md5/data/fasta/arm16.fa
I3716,NEUk,Neolithic,Ukraine,M,-5469,-5328,U5b2a1a,/static_md5/data/fasta/I3716.fa
LICOL31,LONG,Middle Ages,Italy,U,570,800,H,/static_md5/data/fasta/LICOL31.fa
Aes4,NESw,Neolithic,Switzerland,M,-3094,-2926,H3,/static_md5/data/fasta/Aes4.fa
I7426,MAIB,Middle Ages,Spain,M,1500,1600,H,/static_md5/data/fasta/I7426.fa
